PLAYER ID,9
PLAYER GENDER,2
EXPERIMENT START,2022-31-10--19-50-27
-
TRIAL DATA
-
LATIN SQUARE ROW,5
TRIAL,1
Condition ID,1
LATERAL(POS X),0
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0
LATERAL(ROT Z),0
LATERAL(FORWARD X),0
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),1
MAIN(POS X),0
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),0
MAIN(ROT Z),0
MAIN(FORWARD X),0
MAIN(FORWARD Y),0
MAIN(FORWARD Z),1
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),4.65
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.240001,0,1,0,0,0,-1
-11.23084,0,3.570419,0,-0.8161725,0,0.9220269,-0.1313159,-0.3641744
-10,0,5.240001,0,1,0,0,0,-1
-11.23035,0,3.571156,0,-0.8160233,0,0.9221999,-0.1314922,-0.363672
-10,0,5.240001,0,1,0,0,0,-1
-11.22936,0,3.572209,0,-0.8158077,0,0.9225454,-0.1312418,-0.3628851
-10,0,5.240001,0,1,0,0,0,-1
-11.22934,0,3.572595,0,-0.8156763,0,0.9227219,-0.1311619,-0.3624652
-10,0,5.240001,0,1,0,0,0,-1
-11.22851,0,3.573754,0,-0.8153984,0,0.9230225,-0.1314816,-0.3615829
-10,0,5.240001,0,1,0,0,0,-1
-11.22849,0,3.574072,0,-0.8152832,0,0.923121,-0.1316942,-0.3612539
-10,0,5.240001,0,1,0,0,0,-1
-11.22971,0,3.573334,0,-0.8155194,0,0.9227482,-0.1323511,-0.3619655
-10,0,5.240001,0,1,0,0,0,-1
-11.23128,0,3.571911,0,-0.8158912,0,0.9222256,-0.1328503,-0.3631128
-10,0,5.240001,0,1,0,0,0,-1
-11.23183,0,3.571092,0,-0.8161094,0,0.9219267,-0.1330784,-0.3637878
-10,0,5.240001,0,1,0,0,0,-1
-11.23163,0,3.571263,0,-0.8161797,0,0.9218536,-0.1333198,-0.3638845
-10,0,5.240001,0,1,0,0,0,-1
-11.23121,0,3.572369,0,-0.8160486,0,0.9219736,-0.1339364,-0.3633537
-10,0,5.240001,0,1,0,0,0,-1
-11.23097,0,3.573207,0,-0.8158613,0,0.9222018,-0.1340581,-0.362729
-10,0,5.240001,0,1,0,0,0,-1
-11.23058,0,3.574121,0,-0.8156752,0,0.9224097,-0.134295,-0.362112
-10,0,5.240001,0,1,0,0,0,-1
-11.23024,0,3.574804,0,-0.8154649,0,0.9226182,-0.1345158,-0.3614984
-10,0,5.240001,0,1,0,0,0,-1
-11.22974,0,3.575692,0,-0.815275,0,0.9228438,-0.1346712,-0.3608645
-10,0,5.240001,0,1,0,0,0,-1
-11.2297,0,3.576774,0,-0.815065,0,0.9231268,-0.1347416,-0.3601131
-10,0,5.240001,0,1,0,0,0,-1
-11.2294,0,3.577441,0,-0.8149255,0,0.9232679,-0.134987,-0.3596596
-10,0,5.240001,0,1,0,0,0,-1
-11.22827,0,3.579171,0,-0.8145544,0,0.923681,-0.1353471,-0.3584617
-10,0,5.240001,0,1,0,0,0,-1
-11.22727,0,3.581568,0,-0.8140717,0,0.9242304,-0.1358651,-0.356846
-10,0,5.240001,0,1,0,0,0,-1
-11.22667,0,3.583475,0,-0.8136861,0,0.9245821,-0.1366876,-0.355619
-10,0,5.240001,0,1,0,0,0,-1
-11.22611,0,3.585751,0,-0.8132033,0,0.9249896,-0.137789,-0.3541307
-10,0,5.240001,0,1,0,0,0,-1
-11.22505,0,3.588429,0,-0.8125824,0,0.9255742,-0.138767,-0.3522163
-10,0,5.240001,0,1,0,0,0,-1
-11.22401,0,3.59129,0,-0.8119997,0,0.9261068,-0.1399522,-0.3503428
-10,0,5.240001,0,1,0,0,0,-1
-11.22209,0,3.597928,0,-0.8107066,0,0.9272534,-0.1428092,-0.346131
-10,0,5.240001,0,1,0,0,0,-1
-11.22088,0,3.601616,0,-0.8099363,0,0.9279516,-0.1442462,-0.3436553
-10,0,5.240001,0,1,0,0,0,-1
-11.21938,0,3.60546,0,-0.8091591,0,0.9286804,-0.1455892,-0.3411109
-10,0,5.240001,0,1,0,0,0,-1
-11.21792,0,3.610147,0,-0.8081889,0,0.9295394,-0.14737,-0.3379924
-10,0,5.240001,0,1,0,0,0,-1
-11.21593,0,3.614933,0,-0.8070736,0,0.9305376,-0.1489832,-0.3345203
-10,0,5.240001,0,1,0,0,0,-1
-11.2139,0,3.620616,0,-0.8058545,0,0.9315712,-0.1511651,-0.3306423
-10,0,5.240001,0,1,0,0,0,-1
-11.21148,0,3.628022,0,-0.8042973,0,0.9328468,-0.1540371,-0.3256829
-10,0,5.240001,0,1,0,0,0,-1
-11.20906,0,3.635846,0,-0.8025647,0,0.9342188,-0.1570397,-0.3202715
-10,0,5.240001,0,1,0,0,0,-1
-11.2062,0,3.645339,0,-0.8005431,0,0.935784,-0.1605789,-0.3138833
-10,0,5.240001,0,1,0,0,0,-1
-11.20313,0,3.65519,0,-0.7984784,0,0.9373426,-0.1641751,-0.3073033
-10,0,5.240001,0,1,0,0,0,-1
-11.20009,0,3.666386,0,-0.7961438,0,0.9391109,-0.1678857,-0.2998085
-10,0,5.240001,0,1,0,0,0,-1
-11.19747,0,3.677402,0,-0.7939539,0,0.940539,-0.1723052,-0.2927414
-10,0,5.240001,0,1,0,0,0,-1
-11.1943,0,3.687745,0,-0.7916839,0,0.9420576,-0.176069,-0.2855299
-10,0,5.240001,0,1,0,0,0,-1
-11.19102,0,3.698437,0,-0.7894319,0,0.9435389,-0.1798538,-0.2781851
-10,0,5.240001,0,1,0,0,0,-1
-11.18729,0,3.708482,0,-0.7874728,0,0.94481,-0.1832822,-0.2715546
-10,0,5.240001,0,1,0,0,0,-1
-11.18436,0,3.718487,0,-0.7855038,0,0.9460489,-0.186642,-0.2648704
-10,0,5.240001,0,1,0,0,0,-1
-11.18121,0,3.727708,0,-0.7837628,0,0.9471135,-0.1897438,-0.2587922
-10,0,5.240001,0,1,0,0,0,-1
-11.17949,0,3.737679,0,-0.7818054,0,0.9478852,-0.1946326,-0.252254
-10,0,5.240001,0,1,0,0,0,-1
-11.1773,0,3.747258,0,-0.78005,0,0.9486973,-0.1985345,-0.2460846
-10,0,5.240001,0,1,0,0,0,-1
-11.17508,0,3.756343,0,-0.7783195,0,0.9493654,-0.2026187,-0.2401067
-10,0,5.240001,0,1,0,0,0,-1
-11.17309,0,3.76678,0,-0.776408,0,0.9500493,-0.2071728,-0.233422
-10,0,5.240001,0,1,0,0,0,-1
-11.17141,0,3.777745,0,-0.7742512,0,0.9510953,-0.2106108,-0.2259658
-10,0,5.240001,0,1,0,0,0,-1
-11.16775,0,3.79004,0,-0.772041,0,0.9522384,-0.2137972,-0.2180201
-10,0,5.240001,0,1,0,0,0,-1
-11.16465,0,3.80353,0,-0.7694702,0,0.9534057,-0.2174647,-0.2091094
-10,0,5.240001,0,1,0,0,0,-1
-11.16012,0,3.817732,0,-0.7665637,0,0.9547477,-0.2209017,-0.1991466
-10,0,5.240001,0,1,0,0,0,-1
-11.15757,0,3.832382,0,-0.7634839,0,0.9558294,-0.2252281,-0.1888451
-10,0,5.240001,0,1,0,0,0,-1
-11.15335,0,3.849164,0,-0.759906,0,0.9570844,-0.2294559,-0.1770304
-10,0,5.240001,0,1,0,0,0,-1
-11.14805,0,3.86629,0,-0.7562088,0,0.9585269,-0.2325536,-0.1647574
-10,0,5.240001,0,1,0,0,0,-1
-11.14102,0,3.883543,0,-0.7524023,0,0.9603799,-0.2335312,-0.1520984
-10,0,5.240001,0,1,0,0,0,-1
-11.13284,0,3.900928,0,-0.7484646,0,0.9626691,-0.2322794,-0.1389768
-10,0,5.240001,0,1,0,0,0,-1
-11.12395,0,3.918314,0,-0.7444725,0,0.9648282,-0.2308195,-0.1258134
-10,0,5.240001,0,1,0,0,0,-1
-11.1156,0,3.936518,0,-0.7401515,0,0.9670713,-0.2286539,-0.1117611
-10,0,5.240001,0,1,0,0,0,-1
-11.10813,0,3.954742,0,-0.7359293,0,0.9690663,-0.2265143,-0.09798851
-10,0,5.240001,0,1,0,0,0,-1
-11.09927,0,3.972671,0,-0.7318283,0,0.9714315,-0.2218213,-0.08435822
-10,0,5.240001,0,1,0,0,0,-1
-11.09624,0,3.973407,0,-0.7316278,0,0.972419,-0.2178488,-0.08332819
-10,0,5.240001,0,1,0,0,0,-1
-11.08602,0,3.990449,0,-0.7277156,0,0.9748307,-0.2115697,-0.07030968
-10,0,5.240001,0,1,0,0,0,-1
-11.076,0,4.007417,0,-0.7238214,0,0.9772888,-0.2039981,-0.05737046
-10,0,5.240001,0,1,0,0,0,-1
-11.06464,0,4.023806,0,-0.7200685,0,0.9798829,-0.1944692,-0.04484825
-10,0,5.240001,0,1,0,0,0,-1
-11.05354,0,4.042329,0,-0.7157598,0,0.9823731,-0.1843624,-0.03088492
-10,0,5.240001,0,1,0,0,0,-1
-11.0418,0,4.059268,0,-0.7116606,0,0.9848885,-0.1722823,-0.01770747
-10,0,5.240001,0,1,0,0,0,-1
-11.03152,0,4.075826,0,-0.7074618,0,0.9868708,-0.1614456,-0.004635877
-10,0,5.240001,0,1,0,0,0,-1
-11.02057,0,4.091998,0,-0.7031962,0,0.9887978,-0.1490215,0.008450181
-10,0,5.240001,0,1,0,0,0,-1
-11.00944,0,4.105986,0,-0.6991771,0,0.9905349,-0.1357142,0.02055331
-10,0,5.240001,0,1,0,0,0,-1
-10.99967,0,4.120113,0,-0.69505,0,0.9917896,-0.1236295,0.03269839
-10,0,5.240001,0,1,0,0,0,-1
-10.99076,0,4.131294,0,-0.6916625,0,0.9928588,-0.1114292,0.04260327
-10,0,5.240001,0,1,0,0,0,-1
-10.98112,0,4.140155,0,-0.6886828,0,0.9938398,-0.09829826,0.05118609
-10,0,5.240001,0,1,0,0,0,-1
