PLAYER ID,99
PLAYER GENDER,2
EXPERIMENT START,2022-08-11--11-40-10
-
TRIAL DATA
-
LATIN SQUARE ROW,4
TRIAL,1
Condition ID,1
LATERAL(POS X),-0.3999996
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),0.3999996
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),3
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-11.07044,0,4.828604,0,-0.9339352,0,0.6676039,0.007672336,-0.744477
-10,0,5.5,0,1,0,0,0,-1
-11.07067,0,4.828703,0,-0.9339025,0,0.6677495,0.007003419,-0.7443532
-10,0,5.5,0,1,0,0,0,-1
-11.07069,0,4.829354,0,-0.9338726,0,0.6678811,0.00629457,-0.7442414
-10,0,5.5,0,1,0,0,0,-1
-11.07108,0,4.830108,0,-0.9338799,0,0.6678588,0.005431299,-0.7442682
-10,0,5.5,0,1,0,0,0,-1
-11.07163,0,4.830679,0,-0.9339234,0,0.6676843,0.004617718,-0.7444301
-10,0,5.5,0,1,0,0,0,-1
-11.07237,0,4.831565,0,-0.9340187,0,0.667294,0.003484121,-0.7447863
-10,0,5.5,0,1,0,0,0,-1
-11.07303,0,4.832129,0,-0.9340861,0,0.6670175,0.002536421,-0.745038
-10,0,5.5,0,1,0,0,0,-1
-11.07388,0,4.832699,0,-0.9341784,0,0.6666355,0.001569902,-0.7453824
-10,0,5.5,0,1,0,0,0,-1
-11.07459,0,4.833277,0,-0.9342771,0,0.6662247,0.0006197202,-0.7457509
-10,0,5.5,0,1,0,0,0,-1
-11.07519,0,4.833733,0,-0.9343569,0,0.6658907,-0.0001111216,-0.7460492
-10,0,5.5,0,1,0,0,0,-1
-11.07614,0,4.833985,0,-0.9345137,0,0.6652328,-0.00104841,-0.7466353
-10,0,5.5,0,1,0,0,0,-1
-11.07755,0,4.83418,0,-0.9347979,0,0.6640356,-0.002040602,-0.7476982
-10,0,5.5,0,1,0,0,0,-1
-11.07814,0,4.833974,0,-0.9349584,0,0.6633576,-0.002315887,-0.748299
-10,0,5.5,0,1,0,0,0,-1
-11.0789,0,4.833588,0,-0.9351203,0,0.6626734,-0.002495075,-0.7489044
-10,0,5.5,0,1,0,0,0,-1
-11.07928,0,4.833203,0,-0.9352472,0,0.6621358,-0.002617311,-0.7493792
-10,0,5.5,0,1,0,0,0,-1
-11.0798,0,4.832677,0,-0.9353769,0,0.661587,-0.002538221,-0.7498642
-10,0,5.5,0,1,0,0,0,-1
-11.07938,0,4.83219,0,-0.9354675,0,0.6612033,-0.002219645,-0.7502038
-10,0,5.5,0,1,0,0,0,-1
-11.07963,0,4.831983,0,-0.9355582,0,0.6608174,-0.002202908,-0.7505435
-10,0,5.5,0,1,0,0,0,-1
-11.07946,0,4.831659,0,-0.9356223,0,0.6605451,-0.001942702,-0.750784
-10,0,5.5,0,1,0,0,0,-1
-11.07934,0,4.830645,0,-0.935761,0,0.6599548,-0.001123437,-0.7513044
-10,0,5.5,0,1,0,0,0,-1
-11.07871,0,4.829128,0,-0.935897,0,0.6593735,0.0002958848,-0.7518156
-10,0,5.5,0,1,0,0,0,-1
-11.07796,0,4.826986,0,-0.9360968,0,0.6585117,0.002239512,-0.7525672
-10,0,5.5,0,1,0,0,0,-1
-11.077,0,4.824721,0,-0.9362635,0,0.6577823,0.004397249,-0.7531955
-10,0,5.5,0,1,0,0,0,-1
-11.07532,0,4.82193,0,-0.9364622,0,0.6568979,0.007101453,-0.7539463
-10,0,5.5,0,1,0,0,0,-1
-11.07371,0,4.818033,0,-0.9366502,0,0.6560313,0.01077896,-0.7546569
-10,0,5.5,0,1,0,0,0,-1
-11.07178,0,4.813436,0,-0.9368955,0,0.6548765,0.01507094,-0.7555856
-10,0,5.5,0,1,0,0,0,-1
-11.06975,0,4.809012,0,-0.9371213,0,0.6537664,0.01950612,-0.756445
-10,0,5.5,0,1,0,0,0,-1
-11.06813,0,4.804563,0,-0.9374142,0,0.6523377,0.02373101,-0.7575569
-10,0,5.5,0,1,0,0,0,-1
-11.06635,0,4.800329,0,-0.9376839,0,0.6509786,0.02785251,-0.7585849
-10,0,5.5,0,1,0,0,0,-1
-11.06477,0,4.796334,0,-0.9379538,0,0.6495957,0.0317814,-0.7596153
-10,0,5.5,0,1,0,0,0,-1
-11.06269,0,4.791676,0,-0.9382064,0,0.6482316,0.03621537,-0.7605816
-10,0,5.5,0,1,0,0,0,-1
-11.06077,0,4.786148,0,-0.9385039,0,0.6465807,0.04142897,-0.7617198
-10,0,5.5,0,1,0,0,0,-1
-11.05877,0,4.780131,0,-0.9387402,0,0.645134,0.04696908,-0.7626246
-10,0,5.5,0,1,0,0,0,-1
-11.05651,0,4.773828,0,-0.9390044,0,0.6434872,0.05274021,-0.763638
-10,0,5.5,0,1,0,0,0,-1
-11.05493,0,4.767643,0,-0.9392567,0,0.6418669,0.05823597,-0.7646016
-10,0,5.5,0,1,0,0,0,-1
-11.05358,0,4.761572,0,-0.9395273,0,0.6401309,0.06354813,-0.7656333
-10,0,5.5,0,1,0,0,0,-1
-11.05257,0,4.75628,0,-0.9398588,0,0.6381422,0.06811868,-0.7668992
-10,0,5.5,0,1,0,0,0,-1
-11.05188,0,4.751349,0,-0.9401801,0,0.6362003,0.07234762,-0.7681246
-10,0,5.5,0,1,0,0,0,-1
-11.05084,0,4.746572,0,-0.9404793,0,0.6343217,0.07653149,-0.7692716
-10,0,5.5,0,1,0,0,0,-1
-11.04964,0,4.741739,0,-0.9407082,0,0.6327164,0.0808582,-0.7701508
-10,0,5.5,0,1,0,0,0,-1
-11.0483,0,4.737047,0,-0.9408811,0,0.6313729,0.08494254,-0.7708132
-10,0,5.5,0,1,0,0,0,-1
-11.04812,0,4.73259,0,-0.9410517,0,0.6301151,0.08842777,-0.7714502
-10,0,5.5,0,1,0,0,0,-1
-11.04853,0,4.728498,0,-0.9412419,0,0.6288388,0.09131747,-0.7721546
-10,0,5.5,0,1,0,0,0,-1
-11.04947,0,4.724717,0,-0.9415047,0,0.6272979,0.09364041,-0.7731294
-10,0,5.5,0,1,0,0,0,-1
-11.05069,0,4.721815,0,-0.9418344,0,0.6255449,0.09517352,-0.7743614
-10,0,5.5,0,1,0,0,0,-1
-11.05147,0,4.719432,0,-0.9422026,0,0.6235939,0.09662333,-0.7757546
-10,0,5.5,0,1,0,0,0,-1
-11.05182,0,4.717028,0,-0.9425697,0,0.6215835,0.09832938,-0.7771524
-10,0,5.5,0,1,0,0,0,-1
-11.05172,0,4.714097,0,-0.9429483,0,0.6193987,0.1006113,-0.778603
-10,0,5.5,0,1,0,0,0,-1
-11.05101,0,4.710164,0,-0.9432828,0,0.6172451,0.1038176,-0.7798915
-10,0,5.5,0,1,0,0,0,-1
-11.05081,0,4.705122,0,-0.9437319,0,0.6144211,0.1075525,-0.7816132
-10,0,5.5,0,1,0,0,0,-1
-11.09372,0,4.769228,0,-0.9441911,0,0.6114654,0.1115083,-0.7833749
-10,0,5.5,0,1,0,0,0,-1
-11.09483,0,4.763577,0,-0.9448094,0,0.6078061,0.1149419,-0.785723
-10,0,5.5,0,1,0,0,0,-1
-11.09606,0,4.758516,0,-0.9454615,0,0.6039958,0.1179829,-0.7882066
-10,0,5.5,0,1,0,0,0,-1
-11.09775,0,4.754799,0,-0.9461772,0,0.6000937,0.1196443,-0.7909316
-10,0,5.5,0,1,0,0,0,-1
-11.09983,0,4.751751,0,-0.9468676,0,0.5963786,0.1208121,-0.7935599
-10,0,5.5,0,1,0,0,0,-1
-11.10152,0,4.749458,0,-0.9475695,0,0.5926588,0.1214709,-0.7962418
-10,0,5.5,0,1,0,0,0,-1
-11.10348,0,4.746912,0,-0.9482701,0,0.5888906,0.1222431,-0.7989146
-10,0,5.5,0,1,0,0,0,-1
-11.1057,0,4.744424,0,-0.9489324,0,0.5852908,0.123011,-0.8014383
-10,0,5.5,0,1,0,0,0,-1
-11.10677,0,4.741565,0,-0.9495343,0,0.5818476,0.1242979,-0.8037434
-10,0,5.5,0,1,0,0,0,-1
-11.10789,0,4.739103,0,-0.9500766,0,0.5787185,0.1254461,-0.8058215
-10,0,5.5,0,1,0,0,0,-1
-11.10909,0,4.735921,0,-0.9506208,0,0.5754631,0.1270324,-0.8079017
-10,0,5.5,0,1,0,0,0,-1
-11.10977,0,4.733252,0,-0.9510292,0,0.572939,0.1285059,-0.8094611
-10,0,5.5,0,1,0,0,0,-1
-11.11046,0,4.730911,0,-0.951476,0,0.5702607,0.1296353,-0.8111704
-10,0,5.5,0,1,0,0,0,-1
-11.11108,0,4.729726,0,-0.9518397,0,0.5682135,0.129949,-0.8125559
-10,0,5.5,0,1,0,0,0,-1
-11.11151,0,4.729131,0,-0.9521401,0,0.566532,0.1301011,-0.8137048
