PLAYER ID,1234
PLAYER GENDER,2
EXPERIMENT START,2024-27-3--17-24-23
-
TRIAL DATA
-
TRIAL,CONDITION,SECONDARY AGENT,MAIN AGENT,JOIN 1,FINAL JOIN,FAR,TIME
LATIN SQUARE ROW,3
1,,3,4,No Join,No Join,No Join,86.66434
2,,3,4,No Join,No Join,No Join,41.33495
3,,3,4,No Join,No Join,No Join,31.81199
4,,4,3,No Join,No Join,No Join,25.10173
5,,4,3,No Join,No Join,No Join,26.68821
6,,4,3,No Join,No Join,No Join,22.84629
7,,4,3,No Join,No Join,No Join,34.66586
8,,4,3,No Join,No Join,No Join,21.29876
9,,3,4,No Join,No Join,No Join,21.56732
10,,3,4,No Join,No Join,No Join,21.32834
EXPERIMENT END,2024-27-3--17-29-56
