PLAYER ID,1
PLAYER GENDER,2
EXPERIMENT START,2022-31-10--20-02-29
-
TRIAL DATA
-
LATIN SQUARE ROW,6
TRIAL,1
Condition ID,1
LATERAL(POS X),0
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0
LATERAL(ROT Z),0
LATERAL(FORWARD X),0
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),1
MAIN(POS X),0
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),0
MAIN(ROT Z),0
MAIN(FORWARD X),0
MAIN(FORWARD Y),0
MAIN(FORWARD Z),1
GROUP(POS X),-10
GROUP(POS Y),0
GROUP(POS Z),4.65
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10,0,5.5,0,1,0,0,0,-1
-11.08207,0,5.227288,0,-0.9506686,0,0.5778109,0.07735854,-0.8124965
-10,0,5.5,0,1,0,0,0,-1
-11.08295,0,5.227264,0,-0.9505132,0,0.5788264,0.07713953,-0.8117943
-10,0,5.5,0,1,0,0,0,-1
-11.0836,0,5.227214,0,-0.9502959,0,0.5801263,0.0770948,-0.8108702
-10,0,5.5,0,1,0,0,0,-1
-11.08372,0,5.227855,0,-0.9501547,0,0.5809371,0.07681049,-0.8103164
-10,0,5.5,0,1,0,0,0,-1
-11.08334,0,5.22905,0,-0.9498838,0,0.5824144,0.07643054,-0.8092911
-10,0,5.5,0,1,0,0,0,-1
-11.08354,0,5.229072,0,-0.9498908,0,0.5824148,0.07630256,-0.809303
-10,0,5.5,0,1,0,0,0,-1
-11.08361,0,5.228907,0,-0.9498161,0,0.5828145,0.07648357,-0.808998
-10,0,5.5,0,1,0,0,0,-1
-11.0837,0,5.228949,0,-0.9497112,0,0.5834018,0.07651754,-0.8085715
-10,0,5.5,0,1,0,0,0,-1
-11.0841,0,5.228766,0,-0.9496462,0,0.5838206,0.07649425,-0.8082712
-10,0,5.5,0,1,0,0,0,-1
-11.08415,0,5.228985,0,-0.9495639,0,0.5843045,0.07632755,-0.8079372
-10,0,5.5,0,1,0,0,0,-1
-11.08445,0,5.229037,0,-0.9495125,0,0.5846459,0.07616237,-0.8077059
-10,0,5.5,0,1,0,0,0,-1
-11.08417,0,5.229089,0,-0.9494361,0,0.5850088,0.0763112,-0.8074288
-10,0,5.5,0,1,0,0,0,-1
-11.08416,0,5.229386,0,-0.9493793,0,0.5853473,0.07609536,-0.8072039
-10,0,5.5,0,1,0,0,0,-1
-11.08422,0,5.22965,0,-0.9492573,0,0.5860181,0.07603046,-0.8067232
-10,0,5.5,0,1,0,0,0,-1
-11.0845,0,5.229923,0,-0.9491422,0,0.5866815,0.07588706,-0.8062543
-10,0,5.5,0,1,0,0,0,-1
-11.08447,0,5.230457,0,-0.9489712,0,0.5875958,0.07578816,-0.8055979
-10,0,5.5,0,1,0,0,0,-1
-11.0847,0,5.230869,0,-0.9488522,0,0.5882877,0.07552969,-0.8051167
-10,0,5.5,0,1,0,0,0,-1
-11.08453,0,5.231325,0,-0.9487148,0,0.5890002,0.07548106,-0.8046001
-10,0,5.5,0,1,0,0,0,-1
-11.08418,0,5.23171,0,-0.9485494,0,0.5898184,0.07560448,-0.8039893
-10,0,5.5,0,1,0,0,0,-1
-11.08357,0,5.232149,0,-0.948439,0,0.5903174,0.0757097,-0.8036128
-10,0,5.5,0,1,0,0,0,-1
-11.08296,0,5.232337,0,-0.9483246,0,0.5908194,0.07598346,-0.8032181
-10,0,5.5,0,1,0,0,0,-1
-11.08254,0,5.232283,0,-0.948211,0,0.591339,0.0763188,-0.8028038
-10,0,5.5,0,1,0,0,0,-1
-11.08244,0,5.232457,0,-0.9481442,0,0.5916825,0.07628058,-0.8025541
-10,0,5.5,0,1,0,0,0,-1
-11.08263,0,5.23254,0,-0.9480971,0,0.5919752,0.07612279,-0.8023533
-10,0,5.5,0,1,0,0,0,-1
-11.08284,0,5.232245,0,-0.9480622,0,0.5921866,0.07618781,-0.8021913
-10,0,5.5,0,1,0,0,0,-1
-11.08287,0,5.232127,0,-0.948038,0,0.5923271,0.07616925,-0.8020895
-10,0,5.5,0,1,0,0,0,-1
-11.08272,0,5.231945,0,-0.9480192,0,0.592404,0.076288,-0.8020213
-10,0,5.5,0,1,0,0,0,-1
-11.08239,0,5.231886,0,-0.9479929,0,0.592537,0.07626264,-0.8019251
-10,0,5.5,0,1,0,0,0,-1
-11.08225,0,5.231898,0,-0.9479395,0,0.5928008,0.07631187,-0.8017253
-10,0,5.5,0,1,0,0,0,-1
-11.08178,0,5.232155,0,-0.9478143,0,0.5934125,0.07640575,-0.801264
-10,0,5.5,0,1,0,0,0,-1
-11.08167,0,5.232549,0,-0.9476603,0,0.5942059,0.07641377,-0.800675
-10,0,5.5,0,1,0,0,0,-1
-11.08147,0,5.233373,0,-0.9473465,0,0.5957962,0.07648396,-0.7994858
-10,0,5.5,0,1,0,0,0,-1
-11.08096,0,5.235107,0,-0.9469334,0,0.5978898,0.07622892,-0.7979457
-10,0,5.5,0,1,0,0,0,-1
-11.08019,0,5.236484,0,-0.9465494,0,0.5997478,0.07635327,-0.7965383
-10,0,5.5,0,1,0,0,0,-1
-11.07992,0,5.238163,0,-0.9460909,0,0.6020491,0.07618935,-0.7948158
-10,0,5.5,0,1,0,0,0,-1
-11.07944,0,5.239476,0,-0.9457343,0,0.6037958,0.07615713,-0.7934931
-10,0,5.5,0,1,0,0,0,-1
-11.07871,0,5.240446,0,-0.9454158,0,0.6053006,0.07637987,-0.7923239
-10,0,5.5,0,1,0,0,0,-1
-11.07782,0,5.241458,0,-0.9450625,0,0.6069365,0.07673408,-0.7910373
-10,0,5.5,0,1,0,0,0,-1
-11.0774,0,5.242777,0,-0.9446026,0,0.6091757,0.07686269,-0.7893018
-10,0,5.5,0,1,0,0,0,-1
